seed,numVirtualPositions,numDevices,numGens,bestCostTime,objective
1,64,20,164,0.335793,210.000000
1,64,20,166,0.424319,210.000000
1,64,20,157,3.715884,110.000000
1,64,20,171,4.367578,110.000000
1,64,30,161,1.047636,215.000000
1,64,30,161,0.832339,215.000000
1,64,30,161,0.345383,215.000000
1,64,30,160,37.086357,214.000000
1,64,30,163,4.264316,215.000000
1,64,30,160,9.316276,215.000000
1,64,30,165,0.381558,215.000000
1,64,30,170,0.342952,215.000000
1,64,30,166,10.318317,215.000000
1,64,30,161,10.900942,215.000000
1,64,30,164,2.265616,215.000000
1,64,30,167,0.344955,215.000000
1,64,30,165,1.994493,215.000000
1,64,30,165,9.494248,215.000000
1,64,30,165,11.651058,214.000000
1,64,30,166,0.343594,215.000000
1,64,30,161,0.370721,215.000000
1,64,30,158,4.389548,215.000000
1,64,30,166,1.457411,215.000000
1,64,30,158,0.406538,315.000000
1,64,30,161,0.742875,215.000000
1,64,30,161,0.363784,215.000000
1,64,30,163,0.696983,215.000000
1,64,30,167,21.030473,215.000000
1,64,30,162,6.276033,214.000000
1,64,30,165,0.739034,215.000000
1,64,30,161,13.351369,215.000000
1,64,30,164,0.355106,215.000000
1,64,30,162,2.726524,215.000000
1,64,30,165,0.342924,215.000000
1,64,40,156,11.519044,233.000000
1,64,40,157,5.973623,229.000000
1,64,40,160,2.339097,222.000000
1,64,40,154,2.185949,323.000000
1,64,40,159,30.359728,222.000000
1,64,40,160,19.162736,319.000000
1,64,40,154,3.749145,319.000000
1,64,40,155,34.330689,222.000000
1,64,40,157,12.913458,221.000000
1,64,40,155,8.423669,227.000000
1,64,40,157,3.082605,319.000000
1,64,40,158,13.549145,222.000000
1,64,40,154,0.365186,320.000000
1,64,40,161,31.643969,233.000000
1,64,40,157,0.369177,320.000000
1,64,40,154,10.746587,233.000000
1,64,40,159,16.629234,222.000000
1,64,40,155,5.698254,319.000000
1,64,40,157,6.783476,229.000000
1,64,40,150,10.790017,323.000000
1,64,40,157,4.645669,320.000000
1,64,40,156,8.023474,227.000000
1,64,40,158,4.385493,222.000000
1,64,40,157,5.102908,222.000000
1,64,40,156,4.334376,222.000000
1,64,40,158,19.325668,226.000000
1,64,40,154,8.035146,319.000000
1,64,40,158,21.274018,222.000000
1,64,40,156,46.430660,321.000000
1,64,40,156,4.233650,222.000000
1,64,50,150,17.870736,325.000000
1,64,50,151,8.745478,325.000000
1,64,50,154,1.527227,335.000000
1,64,50,151,11.311165,333.000000
1,64,50,151,4.061975,341.000000
1,64,50,150,3.644818,326.000000
1,64,50,152,29.054077,335.000000
1,64,50,150,20.067446,339.000000
1,64,50,154,5.052510,336.000000
1,64,50,153,22.530986,332.000000
1,64,50,148,3.116528,341.000000
1,64,50,150,29.575452,324.000000
1,64,50,150,0.381539,337.000000
1,64,50,152,17.338091,341.000000
1,64,50,141,1.581851,339.000000
1,64,50,150,1.952677,335.000000
1,64,50,153,4.734231,325.000000
1,64,50,146,15.408166,422.000000
1,64,50,151,1.981327,342.000000
1,64,50,152,9.662412,331.000000
1,64,50,151,12.339607,341.000000
1,64,50,147,0.792953,337.000000
1,64,50,148,7.074714,325.000000
